Name,G,PTS,TRB,AST,STL,BLK,FG_PCT,3P_PCT,FT_PCT,WS,WS_PerMin,TotalAllStar,FirstAllD,SecondAllD,TotalAllD,FirstAllNBA,SecondAllNBA,ThirdAllNBA,TotalAllNBA,HoF
Grant Long,1003.0,9.5,6.1,1.7,1.2,0.4,0.467,0.283,0.761,60.1,0.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Randy Smith,976.0,16.7,3.7,4.6,1.4,0.1,0.47,0.155,0.781,60.1,0.092,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,No
Bill Bridges,926.0,11.9,11.9,2.8,0.1,0.0,0.442,0.0,0.693,59.9,0.093,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,No
James Edwards,1168.0,12.7,5.1,1.3,0.4,0.7,0.495,0.048,0.698,59.7,0.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Gerald Wallace,832.0,11.9,5.8,2.1,1.4,0.8,0.469,0.312,0.709,59.7,0.116,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,No
Antonio Davis,903.0,10.0,7.5,1.1,0.5,1.0,0.448,0.087,0.727,59.6,0.11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Juwan Howard,1208.0,13.4,6.1,2.2,0.7,0.3,0.469,0.12,0.764,59.4,0.078,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,No
Ron Boone,1041.0,16.8,4.2,3.7,0.8,0.1,0.461,0.304,0.837,59.3,0.088,4.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,No
Jack Marin,849.0,14.8,5.2,2.1,0.2,0.1,0.465,0.0,0.843,59.3,0.116,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Jason Richardson,857.0,17.1,5.0,2.7,1.2,0.4,0.438,0.37,0.707,59.1,0.097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Mychal Thompson,935.0,13.7,7.4,2.3,0.7,1.1,0.504,0.083,0.655,59.1,0.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Donyell Marshall,957.0,11.2,6.7,1.4,0.8,0.9,0.435,0.35,0.731,59.0,0.113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Mickey Johnson,904.0,14.1,7.2,3.0,1.1,0.7,0.449,0.165,0.8,58.6,0.113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Mike Dunleavy,986.0,11.2,4.3,2.2,0.7,0.3,0.441,0.377,0.803,58.5,0.103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Larry Kenon,752.0,17.2,8.9,2.2,1.3,0.3,0.487,0.143,0.784,58.5,0.115,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Swen Nater,722.0,12.4,11.6,1.7,0.5,0.6,0.535,0.1,0.748,58.5,0.135,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,No
Clarence Weatherspoon,915.0,11.5,7.5,1.5,1.0,0.9,0.471,0.196,0.743,58.4,0.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
José Calderón,895.0,8.9,2.4,5.8,0.8,0.1,0.472,0.407,0.873,58.3,0.118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Dick Snyder,964.0,12.2,2.8,2.9,0.5,0.2,0.488,0.0,0.824,58.3,0.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Armen Gilliam,929.0,13.7,6.9,1.2,0.7,0.7,0.489,0.0,0.776,58.1,0.106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Donnie Freeman,648.0,18.9,3.5,3.5,0.3,0.1,0.456,0.151,0.8,58.0,0.132,5.0,0.0,0.0,0.0,1.0,3.0,0.0,4.0,No
Johnny Green,1057.0,11.6,8.6,1.4,0.0,0.0,0.493,0.0,0.553,58.0,0.113,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Steve Mix,788.0,10.6,5.3,1.8,1.1,0.2,0.499,0.286,0.803,57.6,0.147,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Jim Eakins,767.0,10.8,7.3,1.8,0.3,0.6,0.504,0.0,0.788,57.5,0.145,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Calvin Natt,599.0,17.2,6.8,2.2,0.9,0.3,0.528,0.219,0.768,57.2,0.146,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Don Buse,966.0,7.1,2.7,4.6,2.0,0.2,0.44,0.33,0.779,57.1,0.105,2.0,6.0,0.0,6.0,0.0,1.0,0.0,1.0,No
Clifford Ray,784.0,7.4,8.9,2.2,0.6,0.8,0.524,0.0,0.588,56.7,0.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Rik Smits,867.0,14.8,6.1,1.4,0.4,1.3,0.507,0.115,0.773,56.6,0.118,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Tyrone Corbin,1065.0,9.2,4.7,1.8,1.2,0.3,0.456,0.299,0.791,56.5,0.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Avery Johnson,1054.0,8.4,1.7,5.5,1.0,0.1,0.479,0.145,0.706,56.5,0.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Larry Jones,551.0,19.1,4.9,3.7,0.2,0.0,0.453,0.277,0.793,56.4,0.143,4.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,No
Terry Dischinger,652.0,13.8,5.6,1.8,0.1,0.0,0.506,0.0,0.758,56.3,0.152,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Latrell Sprewell,913.0,18.3,4.1,4.0,1.4,0.4,0.425,0.337,0.804,56.3,0.077,4.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,No
Tyrone Hill,801.0,9.4,8.6,0.8,0.8,0.5,0.502,0.0,0.643,56.2,0.12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Rodney McCray,768.0,11.7,6.6,3.6,0.8,0.6,0.503,0.26,0.761,56.0,0.108,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,No
Mike Gminski,938.0,11.7,6.9,1.3,0.5,1.1,0.465,0.122,0.843,55.9,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Michael Redd,629.0,19.0,3.8,2.1,0.9,0.1,0.447,0.38,0.838,55.9,0.134,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,No
Nick Van Exel,880.0,14.4,2.9,6.6,0.8,0.1,0.405,0.357,0.794,55.9,0.093,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Kenny Sears,529.0,13.9,7.8,1.6,0.0,0.0,0.455,0.0,0.826,55.8,0.179,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Doug Christie,827.0,11.2,4.1,3.6,1.9,0.5,0.426,0.354,0.821,55.7,0.102,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,No
Sean Elliott,742.0,14.2,4.3,2.6,0.8,0.4,0.465,0.375,0.799,55.7,0.109,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Damon Stoudamire,878.0,13.4,3.5,6.1,1.1,0.1,0.406,0.357,0.833,55.4,0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Nick Anderson,800.0,14.4,5.1,2.6,1.4,0.5,0.446,0.356,0.667,55.3,0.106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Allan Houston,839.0,17.3,2.9,2.4,0.7,0.2,0.444,0.402,0.863,55.3,0.094,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Amir Johnson,870.0,7.0,5.4,1.2,0.6,1.0,0.57,0.332,0.673,55.3,0.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Danny Manning,883.0,14.0,5.2,2.3,1.1,0.9,0.511,0.206,0.729,55.1,0.109,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Byron Beck,747.0,11.5,7.0,1.3,0.3,0.1,0.505,0.295,0.811,55.0,0.137,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Devin Harris,985.0,10.8,2.2,3.9,1.0,0.2,0.432,0.325,0.796,54.9,0.11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Mehmet Okur,634.0,13.5,7.0,1.7,0.5,0.7,0.458,0.375,0.797,54.7,0.142,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Brian Grant,756.0,10.5,7.4,1.2,0.6,0.7,0.49,0.214,0.746,54.5,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Jeff Malone,905.0,19.0,2.6,2.4,0.6,0.1,0.484,0.268,0.871,54.2,0.088,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Steve Francis,576.0,18.1,5.6,6.0,1.5,0.4,0.429,0.341,0.797,54.1,0.12,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Greg Ballard,802.0,12.4,6.1,2.2,1.1,0.3,0.472,0.338,0.787,54.0,0.117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Muggsy Bogues,889.0,7.7,2.6,7.6,1.5,0.0,0.458,0.278,0.827,54.0,0.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Freddie Lewis,750.0,16.0,3.7,4.0,0.6,0.0,0.432,0.28,0.817,53.8,0.104,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
John Lucas,928.0,10.7,2.3,7.0,1.4,0.1,0.449,0.303,0.776,53.7,0.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Jim Paxson,784.0,14.3,2.0,2.9,1.2,0.1,0.498,0.225,0.807,53.7,0.121,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,No
Scott Wedman,906.0,13.2,4.8,2.0,0.9,0.3,0.481,0.335,0.794,53.7,0.099,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,No
Brad Davis,961.0,8.2,1.8,4.9,0.8,0.2,0.51,0.321,0.828,53.6,0.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Wally Szczerbiak,651.0,14.1,4.0,2.4,0.6,0.2,0.485,0.406,0.86,53.3,0.127,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Orlando Woolridge,851.0,16.0,4.3,1.9,0.6,0.7,0.513,0.091,0.737,53.0,0.106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Erick Dampier,987.0,7.4,7.1,0.8,0.3,1.4,0.498,0.125,0.626,52.7,0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Zaza Pachulia,1098.0,6.8,5.8,1.3,0.7,0.3,0.469,0.0,0.751,52.7,0.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Truck Robinson,772.0,15.5,9.4,1.7,0.7,0.7,0.483,1.0,0.662,52.7,0.101,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,No
Kirk Hinrich,879.0,10.9,2.9,4.8,1.1,0.3,0.411,0.375,0.8,52.5,0.093,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,No
Jerry Stackhouse,970.0,16.9,3.2,3.3,0.9,0.5,0.409,0.309,0.822,52.4,0.083,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Cuttino Mobley,747.0,16.0,3.9,2.7,1.2,0.4,0.433,0.378,0.835,52.2,0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Alvin Robertson,779.0,14.0,5.2,5.0,2.7,0.4,0.477,0.295,0.743,52.1,0.101,4.0,2.0,4.0,6.0,0.0,1.0,0.0,1.0,No
Vern Fleming,893.0,11.3,3.4,4.8,1.0,0.1,0.498,0.181,0.764,52.0,0.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Rick Mahorn,1117.0,6.9,6.2,1.0,0.6,0.9,0.493,0.132,0.704,51.7,0.096,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,No
Cazzie Russell,817.0,15.1,3.8,2.2,0.3,0.0,0.464,0.0,0.827,51.7,0.112,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Boris Diaw,1064.0,8.6,4.4,3.5,0.6,0.5,0.493,0.336,0.717,51.6,0.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
James Posey,864.0,8.6,4.7,1.6,1.1,0.3,0.41,0.349,0.82,51.6,0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Gilbert Arenas,552.0,20.7,3.9,5.3,1.6,0.2,0.421,0.351,0.803,51.3,0.127,3.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,No
Samuel Dalembert,886.0,7.7,7.8,0.5,0.5,1.7,0.521,0.083,0.706,51.3,0.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Purvis Short,842.0,17.3,4.3,2.5,1.0,0.2,0.474,0.282,0.824,51.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Josh Smith,894.0,14.5,7.4,3.1,1.2,1.9,0.452,0.285,0.632,51.0,0.084,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,No
Caron Butler,881.0,14.1,5.0,2.3,1.3,0.2,0.434,0.348,0.847,50.9,0.086,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Sam Lacey,1002.0,10.3,9.7,3.7,1.0,1.2,0.441,0.188,0.738,50.9,0.077,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Vinnie Johnson,984.0,12.0,3.2,3.3,0.9,0.3,0.464,0.254,0.74,50.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Bo Outlaw,914.0,5.4,4.9,1.6,0.9,1.3,0.567,0.079,0.521,50.8,0.118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Andrew Bogut,706.0,9.6,8.7,2.2,0.6,1.5,0.535,0.12,0.557,50.6,0.122,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,No
Sleepy Floyd,957.0,12.8,2.6,5.4,1.2,0.2,0.444,0.324,0.815,50.6,0.092,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Bob Love,789.0,17.6,5.9,1.4,0.3,0.1,0.429,0.0,0.805,50.4,0.096,3.0,0.0,3.0,3.0,0.0,2.0,0.0,2.0,No
Mike Newlin,837.0,14.9,3.0,4.0,0.8,0.1,0.466,0.302,0.87,50.4,0.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Red Robbins,586.0,13.1,10.5,1.7,0.1,0.1,0.466,0.305,0.818,50.4,0.129,4.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,No
Troy Murphy,729.0,10.8,7.8,1.5,0.7,0.4,0.445,0.388,0.785,50.3,0.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Johnny Newman,1159.0,11.0,2.2,1.5,0.9,0.2,0.461,0.336,0.81,50.3,0.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Nate McMillan,796.0,5.9,4.0,6.1,1.9,0.4,0.443,0.343,0.65,50.2,0.118,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,No
Mike Mitchell,759.0,19.8,5.6,1.3,0.7,0.5,0.493,0.216,0.779,50.2,0.098,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
