Name,G,PTS,TRB,AST,STL,BLK,FG_PCT,3P_PCT,FT_PCT,WS,WS_PerMin,TotalAllStar,FirstAllD,SecondAllD,TotalAllD,FirstAllNBA,SecondAllNBA,ThirdAllNBA,TotalAllNBA,HoF
Clifford Robinson,1380.0,14.2,4.6,2.2,1.0,1.0,0.438,0.356,0.689,89.7,0.101,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,No
Shawn Kemp,1051.0,14.6,8.4,1.6,1.1,1.2,0.488,0.277,0.741,89.5,0.147,6.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,No
Glen Rice,1000.0,18.3,4.4,2.1,1.0,0.3,0.456,0.4,0.846,88.7,0.122,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,No
Anthony Mason,882.0,10.9,8.3,3.4,0.7,0.3,0.509,0.167,0.709,88.3,0.138,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,No
Antawn Jamison,1083.0,18.5,7.5,1.6,1.0,0.4,0.451,0.346,0.724,87.8,0.112,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Sam Cassell,993.0,15.7,3.2,6.0,1.1,0.2,0.454,0.331,0.861,87.5,0.141,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,No
Dale Davis,1094.0,8.0,7.9,0.9,0.6,1.2,0.53,0.0,0.562,86.9,0.141,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Derek Harper,1199.0,13.3,2.4,5.5,1.6,0.3,0.463,0.354,0.745,86.8,0.11,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,No
Rod Strickland,1094.0,13.2,3.7,7.3,1.5,0.2,0.454,0.282,0.721,85.8,0.122,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,No
David West,1034.0,13.6,6.4,2.2,0.7,0.8,0.495,0.265,0.817,85.8,0.141,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Michael Finley,1103.0,15.7,4.4,2.9,0.9,0.3,0.444,0.375,0.811,85.2,0.108,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Dale Ellis,1209.0,15.7,3.5,1.4,0.8,0.2,0.479,0.403,0.784,84.7,0.117,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,No
Steve Smith,942.0,14.3,3.2,3.1,0.8,0.3,0.44,0.358,0.845,83.7,0.139,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
